OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
isrnort120721A	10	lGP023282.MP4	30404	rGP023639.MP4	31431	26.20507	Time seabed	17.47551	-71.57072	89.59704	-1572.61673	0.50792	0.50957	2.38208	0.44260	1576.79212	3.98472	Sparidae	Argyrops	megalommatus	61176	2	AD	Passing			
isrnort120721A	14	lGP043282.MP4	4315	rGP043639.MP4	5342	36.70194	Time seabed	27.97239	-1833.59212	210.86090	-4186.02496	7.29670	1.59173	17.08811	3.12313	4574.85818	23.76690	Monacanthidae	Thamnaconus	modestoides	7855	1	AD	Passing			
isrnort120721B	0	lGP024892.MP4	3250	rGP028394.MP4	3993	18.65475	Time seabed	4.16416	768.63296	-415.86845	-1663.85210	1.23744	0.82010	2.64234	3.16616	1879.40070	27.90445	Muraenidae	Gymnothorax	elegans	23130	1	AD	Passing			
isrnort120721B	6	lGP024892.MP4	25882	rGP028394.MP4	26625	24.94770	Time seabed	10.45711	-543.05896	-128.52896	-1148.69856	0.66299	0.39174	1.35406	1.86432	1277.08305	26.00716	Blenniidae	Blennius	sp		1	AD	Passing			
isrnort120721C	12	lGP033283.MP4	25903	rGP033640.MP4	26674	33.82907	Time seabed	15.06533	39.67381	-247.36425	-800.17097	0.27531	0.32204	0.66941	0.66823	838.47281	17.62331	Muraenidae	Gymnothorax	johnsoni	7882	1	AD	Passing			
isrnort120721C	13	lGP033283.MP4	25903	rGP033640.MP4	26674	33.82907	Time seabed	15.06533	77.94996	-303.28190	-1007.82563	0.34044	0.43395	1.03002	0.00811	1055.35236	17.49441	Muraenidae	Gymnothorax	nudivomer	7465	1	AD	Passing			
isrnort120721C	16	lGP033283.MP4	26716	rGP033640.MP4	27487	34.05513	Time seabed	15.29139	-452.18076	-441.83872	-1719.99649	0.87696	0.89821	2.91515	0.64439	1832.50561	20.35111	Lutjanidae	Paracaesio	sordida	192	1	AD	Passing			
isrnort120721C	27	lGP063283.MP4	15248	rGP063640.MP4	16019	57.49299	Time seabed	38.72925	-71.07832	-38.12971	-1512.77482	0.48937	0.47277	2.20961	0.30271	1514.92365	3.17337	Lutjanidae	Paracaesio	sordida	192	4	J	Passing			
isrnort120721C	28	lGP073283.MP4	28758	rGP073640.MP4	29529	70.12506	Time seabed	51.36131	-1140.46245	-631.77174	-2198.93707	2.38943	1.49710	4.81335	1.56764	2556.38697	30.78158	Ostraciidae	Tetrosomus	gibbosus	8129	1	AD	Passing			
isrnort120721C	30	lGP073283.MP4	30149	rGP073640.MP4	30920	70.51183	Time seabed	51.74809	-278.03890	-46.53843	-1201.40150	0.47768	0.38108	1.44612	0.57781	1234.03283	13.24742	Monacanthidae	Thamnaconus	modestoides	7855	1	AD	Passing			
isrnort120721C	32	lGP083283.MP4	6106	rGP083640.MP4	6877	72.70207	Time seabed	53.93833	9.91049	-172.32522	-811.18012	0.27731	0.29352	0.68405	0.03307	829.34153	12.25383	Pomacanthidae	Apolemichthys	xanthotis	10940	1	AD	Passing			
isrnort120721D	1	lGOPR4893.MP4	25027	rGOPR8395.MP4	25747	6.95890	Time seabed	0.18963	-1994.26558	1307.15767	-5237.16929	9.66342	6.78940	26.00034	0.03885	5754.45033	24.26072	Ostraciidae	Tetrosomus	gibbosus	8129	1	AD	Passing			
isrnort120721D	2	lGP014893.MP4	19218	rGP018395.MP4	19938	14.21920	Time seabed	7.44994	3393.74265	1707.89178	-8164.10302	25.38966	13.60072	62.11525	4.05126	9004.82991	24.77649	Scaridae	Scarus	niger	5550	1	AD	Passing			
isrnort120721D	3	lGP034893.MP4	177	rGP038395.MP4	897	26.67582	Time seabed	19.90655	2523.65053	174.63014	-6007.38698	14.03915	2.22702	34.11954	5.71857	6518.28245	22.81126	Labridae	Choerodon	robustus	6926	1	AD	Passing			
isrnort120721D	6	lGP034893.MP4	17480	rGP038395.MP4	18200	31.48701	Time seabed	24.71775	-1016.95578	1484.89461	-5630.65721	5.53098	8.22651	29.82401	0.05473	5911.29526	17.39413	Mullidae	Parupeneus	heptacanthus	5991	1	AD	Passing			
isrnort120721D	7	lGP034893.MP4	22314	rGP038395.MP4	23034	32.83113	Time seabed	26.06187	2529.60733	294.38594	-6352.30007	14.91138	2.82378	38.14165	3.37817	6843.77765	21.80303	Scaridae	Scarus	zufar	26221	1	AD	Passing			
isrnort120721E	7	lGOPR3284.MP4	28164	rGOPR3641.MP4	29483	7.83116	Time seabed	2.36737	1099.09489	666.50081	-2060.15822	2.19176	1.52348	4.28849	2.08070	2428.26786	31.83661	Acanthuridae	Naso	hexacanthus	1263	3	AD	Passing			
