OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
israchz040221C	6	1	1551.01259	1204.63551	1326.45855	1225.94393
israchz040221C	7	0	387.29906	900.37383	96.47009	860.64486
israchz040221C	7	1	880.99895	863.43925	628.47429	847.85981
israchz040221C	8	0	700.09129	1191.85047	628.99475	1147.81308
israchz040221C	8	1	1335.65897	1190.42991	1233.35152	1197.53271
israchz040221C	9	0	610.68835	948.71215	501.15845	918.73271
israchz040221C	9	1	906.28122	948.71215	725.45016	930.60187
israchz040221D	0	0	2227.32424	858.01869	1027.12277	886.42991
israchz040221D	1	0	1969.12487	1019.96262	1174.66527	1039.85047
israchz040221D	2	0	1979.05561	756.90654	339.06401	760.24299
israchz040221D	2	1	2631.64743	771.11215	1126.43022	815.64486
israchz040221D	3	0	1997.49843	1073.94393	1012.93599	1142.13084
israchz040221D	3	1	2692.65058	744.37383	1909.54040	809.71963
israchz040221E	0	0	1878.22141	530.14953	1932.70934	512.60748
israchz040221E	0	1	1888.15215	599.75701	1944.05876	595.00000
israchz040221E	1	0	1853.47429	400.59813	1832.15215	402.01869
israchz040221E	1	1	1859.14900	242.91589	1808.03463	240.07477
israchz040221E	2	0	1569.05771	130.69159	2136.52886	122.16822
israchz040221E	2	1	1645.66632	772.78505	2091.13116	727.32710
israchz040221E	3	0	1518.49843	257.39252	1530.85100	240.57009
israchz040221E	3	1	1582.33893	616.79439	1577.66737	605.65421
israchz040221E	4	0	1554.87093	227.28972	1959.05561	203.14019
israchz040221E	4	1	1634.54669	974.71028	2112.41133	897.01869
israchz040221E	5	0	876.54669	387.80374	1084.49843	361.14953
israchz040221E	5	1	1052.46275	737.26168	1156.85100	717.71028
israchz040221E	6	0	763.24869	88.07477	1452.72613	5.68224
israchz040221E	6	1	933.49003	835.28972	1634.87198	754.28972
israchz040221E	7	0	1183.17733	403.43925	1634.31689	360.82243
israchz040221E	7	1	1342.06925	1088.14953	1713.76285	1017.12150
israchz040221E	8	0	1109.40609	1122.24299	1784.69675	1105.19626
israchz040221E	9	0	1842.57398	1288.44860	1888.22455	1227.36449
israchz040221E	9	1	1825.54984	1116.56075	1859.85100	1073.94393
israchz040221E	10	0	1733.33578	1471.70093	1686.77230	1421.98131
israchz040221E	11	0	1849.95593	1181.90654	1949.26338	1125.08411
israchz040221F	0	0	2289.74607	967.33645	1173.19412	1020.37383
israchz040221F	0	1	1886.84155	938.92523	966.06716	950.76636
israchz040221F	1	0	1617.66107	457.21495	1356.05247	473.58879
israchz040221F	1	1	1770.87828	347.83178	1507.85100	375.57009
israchz040221F	2	0	1688.59496	661.77570	1398.61280	683.83178
israchz040221F	2	1	1821.95068	518.29907	1551.83001	541.77570
israchz040221F	3	0	2292.95173	291.00935	2143.62225	308.26168
israchz040221F	3	1	2100.01154	237.02804	1940.75131	258.54206
israchz040221F	4	0	2047.15215	810.23364	1595.19098	852.50467
israchz040221F	4	1	2245.76705	823.01869	1843.45960	879.49533
israchz040221F	5	0	1625.80483	1005.75701	1018.61070	1005.75701
israchz040221F	6	0	1591.58867	993.06542	1106.32949	1005.75701
israchz040221F	6	1	1838.43861	903.57009	1330.48059	927.62617
israchz040221F	7	0	1410.65477	1022.75701	1146.86569	1021.54206
israchz040221F	7	1	1653.24869	1014.23364	1392.29696	1032.90654
israchz040221F	8	0	1372.30850	1464.59813	927.75131	1431.92523
israchz040221F	8	1	1612.06506	1443.28972	1178.85729	1446.13084
